timestamp,frame_id,num_points,num_detections,prep_time_ms,inference_time_ms,publish_time_ms,total_time_ms,fps
2025-12-17T01:49:56.494997,lidar_top,34720,200,33.55,517.76,4.15,555.46,1.80
2025-12-17T01:50:10.848172,lidar_top,34720,200,25.52,56.99,3.74,86.26,11.59
2025-12-17T01:50:25.732850,lidar_top,34688,200,29.52,57.43,2.59,89.54,11.17
2025-12-17T01:50:40.628034,lidar_top,34752,200,30.52,57.61,2.56,90.69,11.03
2025-12-17T01:50:55.509310,lidar_top,34784,200,31.19,57.57,2.13,90.89,11.00
2025-12-17T01:51:10.265894,lidar_top,34720,200,31.86,57.98,2.80,92.64,10.79
2025-12-17T01:51:25.175339,lidar_top,34720,200,31.64,57.60,2.13,91.37,10.94
2025-12-17T01:51:40.015002,lidar_top,34688,200,30.52,57.40,2.86,90.78,11.02
2025-12-17T01:51:54.877022,lidar_top,34688,200,30.54,57.14,3.13,90.80,11.01
2025-12-17T01:52:09.759642,lidar_top,34688,200,31.24,57.38,3.41,92.02,10.87
2025-12-17T01:52:24.596117,lidar_top,34720,200,30.56,57.58,2.55,90.70,11.03
2025-12-17T01:52:39.483859,lidar_top,34688,200,30.51,58.24,3.05,91.80,10.89
2025-12-17T01:52:54.373213,lidar_top,34752,200,31.45,57.44,3.41,92.30,10.83
2025-12-17T01:53:09.256660,lidar_top,34752,200,30.94,57.77,2.12,90.84,11.01
2025-12-17T01:53:24.078979,lidar_top,34784,200,31.11,57.92,2.58,91.61,10.92
2025-12-17T01:53:38.908444,lidar_top,34784,200,31.02,57.67,2.84,91.53,10.93
2025-12-17T01:53:53.756221,lidar_top,34752,200,30.73,57.69,3.16,91.58,10.92
2025-12-17T01:54:08.628979,lidar_top,34688,200,30.74,58.67,2.25,91.65,10.91
2025-12-17T01:54:53.286566,lidar_top,34720,200,32.04,57.84,2.93,92.81,10.77
2025-12-17T01:55:08.158468,lidar_top,34688,200,31.70,57.54,3.18,92.43,10.82
2025-12-17T01:55:23.043876,lidar_top,34720,200,30.66,57.86,3.17,91.68,10.91
2025-12-17T01:55:37.881364,lidar_top,34752,200,32.88,57.28,4.45,94.61,10.57
2025-12-17T01:55:52.748630,lidar_top,34720,200,31.23,57.47,3.06,91.75,10.90
2025-12-17T01:56:07.579091,lidar_top,34720,200,30.58,57.74,3.12,91.43,10.94
2025-12-17T01:56:22.386981,lidar_top,34720,200,30.16,57.46,4.42,92.04,10.86
2025-12-17T01:56:37.211218,lidar_top,34752,200,30.69,57.43,4.65,92.78,10.78
2025-12-17T01:56:52.037214,lidar_top,34720,200,31.38,57.65,5.46,94.48,10.58
2025-12-17T01:57:06.842372,lidar_top,34720,200,30.75,57.54,6.53,94.82,10.55
2025-12-17T01:57:21.637931,lidar_top,34720,200,31.10,57.47,4.39,92.96,10.76
2025-12-17T01:57:36.462318,lidar_top,34720,200,31.95,57.37,4.98,94.30,10.60
2025-12-17T01:57:51.293129,lidar_top,34752,200,30.53,58.11,4.40,93.04,10.75
2025-12-17T01:58:06.116601,lidar_top,34720,200,30.19,57.60,4.40,92.19,10.85
2025-12-17T01:58:20.929929,lidar_top,34688,200,30.72,57.80,2.86,91.38,10.94
2025-12-17T01:58:35.747978,lidar_top,34688,200,30.42,58.15,3.14,91.72,10.90
2025-12-17T01:58:50.595944,lidar_top,34720,200,30.89,58.10,3.41,92.41,10.82
2025-12-17T01:59:05.388896,lidar_top,34720,200,31.69,58.03,3.15,92.87,10.77
2025-12-17T01:59:20.177450,lidar_top,34688,200,30.90,57.13,3.39,91.42,10.94
2025-12-17T01:59:35.011708,lidar_top,34720,200,31.19,57.15,3.70,92.04,10.87
2025-12-17T01:59:49.846912,lidar_top,34720,200,31.14,57.43,3.66,92.22,10.84
2025-12-17T02:00:04.676465,lidar_top,34688,200,31.16,57.44,2.56,91.16,10.97
